submission_id,company_name_truth,revenue_truth,countries_truth,industry_truth,requested_coverages_truth,company_name_pred,revenue_pred,countries_pred,industry_pred,requested_coverages_pred,_merge,record_present,countries_precision,countries_recall,countries_f1,requested_coverages_precision,requested_coverages_recall,requested_coverages_f1,company_name_match,revenue_match,industry_match,malformed_or_failed
E011,Lakeside Transport Ltd,1861585,"[""United Arab Emirates"", ""Australia"", ""Japan""]",Hospitality,"[""Professional Indemnity""]",Lakeside Transport Ltd,1861585,"['United Arab Emirates', 'Australia', 'Japan']",Hospitality,['Professional Indemnity'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E012,Ashbourne Consulting Ltd,2558087,"[""France"", ""Japan""]",Education,"[""Management Liability""]",Ashbourne Consulting Ltd,2558087,"['France', 'Japan']",Education,['Management Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E013,Oakmere Resources Ltd,9329297,"[""Singapore"", ""Australia"", ""United Arab Emirates""]",Energy,"[""General Liability"", ""Professional Indemnity""]",Oakmere Resources Ltd,9329297,"['Singapore', 'Australia', 'United Arab Emirates']",Energy,"['Professional Indemnity', 'General Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E014,Cedarwood UK Ltd,28875880,"[""Denmark"", ""Germany""]",Retail,"[""Professional Indemnity"", ""Cyber"", ""Technology E&O""]",Cedarwood UK Ltd,28875880,"['Denmark', 'Germany']",Agriculture,"['Professional Indemnity', 'Cyber', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,False,False
E015,Thornbury Energy Ltd,13307392,"[""United Arab Emirates""]",Real Estate,"[""Property"", ""Technology E&O""]",Thornbury Energy Ltd,13307392,['United Arab Emirates'],Real Estate,"['Property', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E016,Sterling Compliance Ltd,17214226,"[""Denmark""]",Manufacturing,"[""Professional Indemnity"", ""Cyber"", ""Product Liability""]",Sterling Compliance Ltd,17214226,['Denmark'],Manufacturing,"['Cyber', 'Professional Indemnity', 'Product Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E017,Clearwater Finance Ltd,27723985,"[""Singapore"", ""Canada""]",Technology,"[""Cyber"", ""Property""]",Clearwater Finance Ltd,27723985,"['Singapore', 'Canada']",Technology,"['Cyber', 'Property']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E018,Dunmore Biotech Ltd,18247475,"[""Italy"", ""Norway""]",Healthcare,"[""Product Liability"", ""Kidnap & Ransom"", ""Property""]",Dunmore Biotech Ltd,18247475,"['Italy', 'Norway']",Healthcare,"['Property', 'Kidnap & Ransom', 'Product Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E019,Pemberton Capital Ltd,4374747,"[""United Arab Emirates"", ""Germany"", ""Sweden""]",Fintech,"[""Cyber""]",Pemberton Capital Ltd,4374747,"['United Arab Emirates', 'Germany', 'Sweden']",Fintech,['Cyber'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E020,Northbridge Innovations Ltd,11015131,"[""Japan""]",Retail,"[""Property""]",Northbridge Innovations Ltd,11015131,['Japan'],Retail,['Property'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E021,Yorkton Design Ltd,45762747,"[""Belgium""]",Logistics,"[""Directors & Officers""]",Yorkton Design Ltd,45762747,['Belgium'],Logistics,['Directors & Officers'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E022,Pinehurst Europe Ltd,42015989,"[""Norway""]",Construction,"[""Directors & Officers"", ""Product Liability"", ""Media Liability""]",Pinehurst Europe Ltd,42015989,['Norway'],Construction,"['Media Liability', 'Product Liability', 'Directors & Officers']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E023,Norwood Networks Ltd,16467943,"[""Belgium"", ""Netherlands""]",Media,"[""Management Liability"", ""Kidnap & Ransom"", ""Media Liability""]",Norwood Networks Ltd,16467943,"['Belgium', 'Netherlands']",Media,"['Management Liability', 'Kidnap & Ransom', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E024,Delta Labs Ltd,42135291,"[""Ireland""]",Life Sciences,"[""Management Liability"", ""Property"", ""Media Liability""]",Delta Labs Ltd,42135291,"['Ireland', 'France', 'Canada']",Life Sciences,"['Property', 'Management Liability', 'Media Liability']",both,True,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,True,True,True,False
E025,Valebrook Foods Ltd,19575180,"[""Denmark""]",Professional Services,"[""Management Liability"", ""Product Liability"", ""Cyber""]",Valebrook Foods Ltd,19575180,['Denmark'],Professional Services,"['Cyber', 'Management Liability', 'Product Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E026,Kestrel Credit Ltd,18198007,"[""Ireland""]",Hospitality,"[""Product Liability"", ""Property"", ""Management Liability""]",Kestrel Credit Ltd,18198007,['Ireland'],Hospitality,"['Product Liability', 'Property', 'Management Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E027,Hawthorne Media Ltd,23460306,"[""Spain""]",Education,"[""Kidnap & Ransom"", ""Management Liability"", ""Cyber""]",Hawthorne Media Ltd,23460306,['Spain'],Education,"['Cyber', 'Management Liability', 'Kidnap & Ransom']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E028,Copperfield Properties Ltd,3408612,"[""Sweden""]",Energy,"[""Management Liability""]",Copperfield Properties Ltd,3408612,['Sweden'],Energy,['Management Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E029,Briarwood International Ltd,38091822,"[""Ireland""]",Agriculture,"[""Property""]",Briarwood International Ltd,38091822,['Ireland'],Agriculture,['Property'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E030,Whitmore Automation Ltd,29292498,"[""Germany""]",Real Estate,"[""Media Liability"", ""Cyber""]",Whitmore Automation Ltd,29292498,['Germany'],Real Estate,"['Cyber', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E031,Beacon Systems Ltd,45207143,"[""Switzerland""]",Manufacturing,"[""Technology E&O"", ""Property"", ""General Liability"", ""Property""]",Beacon Systems Ltd,45207143,['Switzerland'],Manufacturing,"['Property', 'General Liability', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E032,Quarry Markets Ltd,2113384,"[""Sweden""]",Technology,"[""General Liability"", ""Management Liability""]",Quarry Markets Ltd,2113384,['Sweden'],Technology,"['General Liability', 'Management Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E033,Millbrook Partners LLP,3048764,"[""Australia"", ""Canada""]",Healthcare,"[""Media Liability"", ""Management Liability""]",Millbrook Partners LLP,3048764,"['Australia', 'Canada']",Healthcare,"['Management Liability', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E034,Zenith Diagnostics Ltd,44744077,"[""Belgium""]",Fintech,"[""Management Liability"", ""Professional Indemnity""]",Zenith Diagnostics Ltd,44744077,['Belgium'],Fintech,"['Professional Indemnity', 'Management Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E035,Riverstone Advisory Ltd,27271962,"[""United Arab Emirates"", ""Sweden"", ""United Kingdom""]",Retail,"[""Management Liability""]",Riverstone Advisory Ltd,27271962,"['United Arab Emirates', 'Sweden', 'United Kingdom']",Retail,['Management Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E036,Ember Security Ltd,2083698,"[""Norway""]",Life Sciences,"[""Media Liability"", ""Technology E&O""]",Ember Security Ltd,2083698,['Norway'],Life Sciences,"['Media Liability', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E037,Crown Retail Ltd,13725013,"[""Canada"", ""Spain"", ""Germany""]",Professional Services,"[""Technology E&O"", ""Cyber"", ""General Liability""]",Crown Retail Ltd,13725013,"['Canada', 'Spain', 'Germany']",Professional Services,"['Cyber', 'General Liability', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E038,BluePeak Solutions Ltd,11879674,"[""Sweden"", ""Ireland"", ""Italy""]",Hospitality,"[""Management Liability"", ""Technology E&O"", ""Media Liability""]",BluePeak Solutions Ltd,11879674,"['Sweden', 'Ireland', 'Italy']",Hospitality,"['Management Liability', 'Technology E&O', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E039,Glenhaven Holdings plc,7237085,"[""Belgium"", ""United States""]",Education,"[""Directors & Officers"", ""Management Liability"", ""Technology E&O""]",Glenhaven Holdings plc,4848846,"['Belgium', 'United States']",Education,"['Management Liability', 'Technology E&O', 'Directors & Officers']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,False,True,False
E040,Ridgeway Healthcare Ltd,10427226,"[""Norway""]",Energy,"[""Directors & Officers"", ""Media Liability"", ""Kidnap & Ransom""]",Ridgeway Healthcare Ltd,10427226,['Norway'],Energy,"['Media Liability', 'Kidnap & Ransom', 'Directors & Officers']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E041,Brightmoor Dynamics Ltd,17952153,"[""United States"", ""France""]",Agriculture,"[""Product Liability"", ""Media Liability""]",Brightmoor Dynamics Ltd,17952153,"['United States', 'France']",Agriculture,"['Product Liability', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E042,Orchard Digital Ltd,8337689,"[""Netherlands""]",Real Estate,"[""General Liability""]",Orchard Digital Ltd,8337689,['Netherlands'],Real Estate,['Cyber'],both,True,1.0,1.0,1.0,0.0,0.0,0.0,True,True,True,False
E043,Stonegate Components Ltd,16081230,"[""Canada"", ""Belgium""]",Manufacturing,"[""Technology E&O"", ""General Liability""]",Stonegate Components Ltd,16081230,"['Canada', 'Belgium']",Manufacturing,"['General Liability', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E044,Greenfield Packaging Ltd,15065539,"[""United States""]",Technology,"[""Product Liability"", ""Kidnap & Ransom"", ""Cyber""]",Greenfield Packaging Ltd,15065539,['United States'],Technology,"['Cyber', 'Kidnap & Ransom', 'Product Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E045,Summit Software Ltd,16116317,"[""Denmark""]",Healthcare,"[""Product Liability"", ""Directors & Officers"", ""Media Liability""]",Summit Software Ltd,16116317,['Denmark'],Healthcare,"['Product Liability', 'Directors & Officers', 'Media Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E046,Westhaven Insights Ltd,29838087,"[""Denmark"", ""United States"", ""Singapore""]",Logistics,"[""Management Liability"", ""General Liability""]",Westhaven Insights Ltd,29838087,"['Denmark', 'United States', 'Singapore']",Logistics,"['General Liability', 'Management Liability']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E047,Maplecrest Industries Systems Ltd,33720755,"[""Australia"", ""Spain"", ""Denmark""]",Construction,"[""Management Liability""]",Maplecrest Industries Ltd,33720755,"['Australia', 'Spain', 'Denmark']",Construction,['Management Liability'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,False,True,True,False
E048,Silverline Ventures Ltd,22655345,"[""France"", ""Netherlands"", ""Japan""]",Media,"[""Technology E&O""]",Silverline Ventures Ltd,22655345,"['France', 'Netherlands', 'Japan']",Media,['Technology E&O'],both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E049,Harbourview Services Europe Ltd,5510325,"[""Norway"", ""Sweden""]",Life Sciences,"[""Kidnap & Ransom"", ""Technology E&O"", ""Cyber""]",Harbourview Services Europe Ltd,5510325,"['Norway', 'Sweden']",Life Sciences,"['Cyber', 'Technology E&O', 'Kidnap & Ransom']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,True,True,False
E050,Upland Platforms Ltd,2008613,"[""Belgium"", ""Singapore"", ""United Kingdom""]",Professional Services,"[""Management Liability"", ""Technology E&O""]",Upland Platforms Ltd,2510767,"['Belgium', 'Singapore', 'United Kingdom']",Professional Services,"['Management Liability', 'Technology E&O']",both,True,1.0,1.0,1.0,1.0,1.0,1.0,True,False,True,False
